trackingnum,borough,cd,commdist,type_br,type,priority,agencyacro,agency,need,request,explanation,sitename,address,streetsegment,streetcross1,streetcross2,supporters1,supporters2,parent_tracking_code,agyresponsecat,agyresponse,unique_id,geo_function
412202411C,4,12,412,C, ,11,DOT,841,Transportation infrastructure,Repair or provide new street lights,Provide new street lighting at Parsons Blvd. and Hillside Ave.  The lighting is very dim.  Requesting brighter lighting at Parsons Blvd. and Hillside Ave,,,"",,,,,,8,Please contact the Borough Commissioner's office to discuss this request.,3484,GEOCODE FAILED
312202432C,3,12,112,C, ,32,DOT,841,Environmental protection,"Improve mobility options, including bike share",Analyze RSD Upper Roadway between W158th and W. 165th and implement any recommended changes to improve safety and flow of traffic.,,,"",,,,,,8,The Borough Commissioner's office is reviewing the request. It is under consideration. Please contact the B/C's office for further details.,2644,GEOCODE FAILED
312202454C,3,12,112,C, ,54,EDC,802,NYPD facilities and equipment,Invest in infrastructure that will support growth in commercial business districts,"Weather proofing for outdoor dinning, safer street initiatives and plaza investment.",,,"",,,,,,8,Further study by the agency of this request is needed.,2688,GEOCODE FAILED
312202432E,3,12,112,E, ,32,SBS,801,Programs to address other public health issues,Other expense budget request for SBS,Building a Business training/capacitation hubs (additional to services offered by SBS) up to and including personal coaches/ resource navigators.,,,"",,,,,,2,The agency will try to accommodate this issue within existing resources.,2645,GEOCODE FAILED
312202433C,3,12,112,C, ,33,DPR,846,"Park, buildings, and access improvements","Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","Reconstruction of the Little Red Lighthouse (foundation, wrought iron fence, electrical upgrades, ADA access, etc.; est $6.35mm)",,,"",,,,,,8,Contact the Community Board Unit at OMB for information regarding this request.,2646,GEOCODE FAILED
312202440C,3,12,112,C, ,40,DSNY,827,Traffic and traffic flow,Provide new or increase number of sanitation trucks and other equipment,Provide additional garbage collection trucks and street sweepers with snow plows,,,"",,,,,,5,"Although the Department of Sanitation supports this program, due to fiscal constraints the availability of funds is uncertain.",2660,GEOCODE FAILED
312202447C,3,12,112,C, ,47,DOE,40,Services to support low-income New Yorkers,Other capital budget request for DOE,Increase outdoor infrastructures-Student Plaza- Provide funding to build an environmental infrastructure ( WHEELS? School Plaza)  West 182 St Between Audubon  Ave and Amsterdam Ave,,,"",,,,,,6,Unable to prioritize funding for this project request at this time.,2674,GEOCODE FAILED
312202440E,3,12,112,E, ,40,DEP,826,Educational programs,Other expense budget request for DEP,Hold workshops to educate landlords and supers on the implementation of L.L. 97 to reduce carbon emissions from buildings by eliminating fossil fuels and utilizing electrification. (DEP),,,"",,,,,,10,This request is not recommended for funding.,2661,GEOCODE FAILED
312202441C,3,12,112,C,site,41,DPR,846,"Park, buildings, and access improvements","Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)",Gorman Park: Phase II (to repair & restore the lower park).,,,"",,,,,,8,Contact the Community Board Unit at OMB for information regarding this request.,2662,GEOCODE FAILED
312202441E,3,12,112,E, ,41,DOHMH,816,Educational programs,Other programs to address public health issues requests,"Increase services to prevent and treat chronic diseases, such as Alzheimer's, diabetes, cancer, heart disease and hypertension -- conditions that increase susceptibility to COVID-19 -- in our community (DOHMH).",,,"",,,,,,7,More information is needed from the community board before making a funding decision. The community board should contact the agency.,2663,GEOCODE FAILED
312202476C,3,12,112,C, ,CS,DPR,846,Environmental protection,Reconstruct or upgrade a building in a park,"Asbestos abatement and restoration of ""Building D"" in Ft. Tryon Park for security presence",Ft. Tryon Park,,"",,,,,,8,Contact the Community Board Unit at OMB for information regarding this request.,2709,GEOCODE FAILED
312202442C,3,12,112,C,site,42,DPR,846,"Park, buildings, and access improvements","Provide a new or expanded park or amenity (i.e. playground, outdoor athletic field)","Inwood Hill Park Nature Center: add a ""learning landscape"".",Inwood Hill Park Nature Center;,"West  218 Street, Manhattan, New York, NY",West 218 Street,,,,,,8,Contact the Community Board Unit at OMB for information regarding this request.,2664,GEOCODE FAILED
312202442E,3,12,112,E, ,42,DOHMH,816,Zoning and land use,"Provide more information and services related to STIs, HIV/AIDS, and family planning","Increase HIV/AIDS prevention and treatment services, and LGBTQ services, in our community",,,"",,,,,,3,"Preventing the spread of HIV/AIDS and other STDs is a top priority for DOHMH. Through a variety of condom distribution and community-based programs, we work to give communities the tools they need to stay safe. While additional services would be contingent upon available funds, please feel free to contact us to discuss available services in your community.",2665,GEOCODE FAILED
312202443C,3,12,112,C, ,43,FDNY,57,"Park, buildings, and access improvements","Provide new emergency vehicles, such as fire trucks or ambulances","Procurement of all-terrain vehicle (ATV) or ""Gator"" vehicles for FDNY for efficient response in CD12M's vast parklands and add funding for cameras in parks within 33 and 34 precincts.",,,"",,,,,,8,Further study by the agency of this request is needed.,2666,GEOCODE FAILED
312202443E,3,12,112,E, ,43,DPR,846,Senior center programs,Provide more programs in parks or recreational centers,"Outdoor learning initiatives in parks, community gardens, and other green spaces.",,,"",,,,,,8,Contact the Community Board Unit at OMB for information regarding this request.,2667,GEOCODE FAILED
312202444C,3,12,112,C, ,44,DPR,846,Street trees and forestry services,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)",Renovate McKenna Square Park.,,,"",,,,,,8,Contact the Community Board Unit at OMB for information regarding this request.,2668,GEOCODE FAILED
312202444E,3,12,112,E, ,44,DPR,846,Direct business services,Other expense budget request for DPR,Add funding to Partnerships for Parks & City Parks Foundation to support friends-of-parks groups.,,,"",,,,,,8,Contact the Community Board Unit at OMB for information regarding this request.,2669,GEOCODE FAILED
312202445E,3,12,112,E, ,45,DCLA,126,Economic development investments,Support nonprofit cultural organizations,(Revised) Increase DCLA funding by at least $1mm to increase support for arts programming and individual artists within CD12M (DCLA),,,"",,,,,,4,"More information is required, specifically each request must be tied to one organization, and mention a specific project.",2671,GEOCODE FAILED
312202446C,3,12,112,C, ,46,DPR,846,Direct business services,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)",Highbridge Rec Center weatherization (fix windows to retain heat/cooling),HIGHBRIDGE RECREATION CENTER,,"",,,,,,8,Contact the Community Board Unit at OMB for information regarding this request.,2672,GEOCODE FAILED
312202446E,3,12,112,E, ,46,DPR,846,Commercial district revitalization,"Enhance park safety through design interventions, e.g. better lighting",Repair sinkholes in Ft. Washington Park pathways from Haven Ave.,,,"",,,,,,8,Contact the Community Board Unit at OMB for information regarding this request.,2673,GEOCODE FAILED
312202449C,3,12,112,C,site,49,DPR,846,Schools and educational facilities,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)",Inwood Hill Park: Ballfields 3 & 5.,Inwood Hill Park;,"Inwood Hill Park Nature Center, Manhattan, New York, NY","Inwood Hill Park Nature Center, Manhattan, New York, NY",,,,,,8,Contact the Community Board Unit at OMB for information regarding this request.,2678,GEOCODE FAILED
312202450C,3,12,112,C, ,50,DPR,846,Schools and educational facilities,Reconstruct or upgrade a building in a park,"Asbestos abatement and restoration of ""Building D"" in Ft. Tryon Park for security presence.",Fort Tryon Park;,"Margaret Corbin Drive, Manhattan, New York, NY",Margaret Corbin Drive,,,,,,8,Contact the Community Board Unit at OMB for information regarding this request.,2680,GEOCODE FAILED
312202450E,3,12,112,E, ,50,DOE,40,Schools and educational facilities,"Assign more non-teaching staff, e.g., to provide social, health and other services",Provide funding to increase the number of School Counselors in SD6.,,,"",,,,,,8,Contact the Community Board Unit at OMB for information regarding this request.,2681,GEOCODE FAILED
312202451C,3,12,112,C,site,51,DPR,846,Schools and educational facilities,"Other requests for park, building, or access improvements",Renovate/repair sidewalk pavers on west side of Cabrini Blvd. (W.190 St. - Mgt. Corbin Circle)  adjacent to FW & FT Parks.,,,"",,,,,,8,Contact the Community Board Unit at OMB for information regarding this request.,2682,GEOCODE FAILED
312202452C,3,12,112,C,site,52,DPR,846,Schools and educational facilities,Other street trees and forestry services requests,"Community Garden: prepare land, make accessible & soil mitigation.",,,"",,,,,,8,Contact the Community Board Unit at OMB for information regarding this request.,2684,GEOCODE FAILED
312202452E,3,12,112,E, ,52,DFTA,125,Schools and educational facilities,Other senior center program requests,Increase OTPS funding for replacement furnishings (non-capital) in senior centers as needed.,,,"",,,,,,7,More information is needed from the community board before making a funding decision. The community board should contact the agency.,2685,GEOCODE FAILED
312202453C,3,12,112,C,site,53,DPR,846,Schools and educational facilities,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)",More family picnic / BBQ areas throughout CD12 Parks to meet increasing community demand,,,"",,,,,,8,Contact the Community Board Unit at OMB for information regarding this request.,2686,GEOCODE FAILED
312202453E,3,12,112,E, ,53,SBS,801,FDNY facilities and equipment,Provide or expand business education to businesses and entrepreneurs,Provide funding for cannabis education for small businesses.,,,"",,,,,,1,This project was funded in a prior fiscal year and the scope is now underway.,2687,GEOCODE FAILED
312202454E,3,12,112,E,general,54,SBS,801,Garbage collection and recycling infrastructure,Provide or expand business education to businesses and entrepreneurs,(Revised) Physical Resource Guide of different programs designed to help businesses and Virtual Organizational Chart detailing responsibilities of each city agency.,,,"",,,,,,2,Further study of this request is needed by SBS. Please contact SBS.,2689,GEOCODE FAILED
312202455C,3,12,112,C, ,CS,HRA,96,Economic development investments,Other request for services to support low-income New Yorkers,Provide more funding for food pantries.,,,"",,,,,,9,HRA continues to maintain funding for EFAP. During the COVIDpandemic funds have been added to the budget to purchase additional food.,2690,GEOCODE FAILED
312202455E,3,12,112,E, ,55,SBS,801,Public housing upgrades or renovations,"Support local CBO's efforts to provide or expand district marketing, branding, and promotion",(Revised) Designated Marketing and Advertising space to support local businesses.,,,"",,,,,,8,Further study by the agency of this request is needed.,2691,GEOCODE FAILED
312202456C,3,12,112,C,site,CS,DFTA,125,Transit Infrastructure,Renovate or upgrade a senior center,Renovate existing or build replacement senior centers as necessary to comply w/ ADA & DFTA regulations.,,,"",,,,,,7,More information is needed from the community board before making a funding decision. The community board should contact the agency.,2692,GEOCODE FAILED
312202457C,3,12,112,C,general,CS,NYCTA,998,Transit Infrastructure,Repair or upgrade subway stations or other transit infrastructure,Rehabilitate the W. 155 Street IND Subway Station.,W 155th subway station,,"",,,,,,7,More information is needed from the community board before making a funding decision. The community board should contact the agency.,2693,GEOCODE FAILED
312202458C,3,12,112,C,site,CS,NYCTA,998,Transportation infrastructure,Repair or upgrade subway stations or other transit infrastructure,Rehabilitate the Subway Stations at West 181st and West 168 Streets IND.,,,"",,,,,,7,More information is needed from the community board before making a funding decision. The community board should contact the agency.,2694,GEOCODE FAILED
312202460C,3,12,112,C,site,CS,DOT,841,"Park, buildings, and access improvements",Reconstruct streets,W 174th St. between Aud / Amsterdam repair and reconstruction project.,,W 174th St. between Audubon / Amsterdam,W 174th St.,,,,,,3,Temporary improvements have been made at this location until permanent improvements can be made.,2696,GEOCODE FAILED
312202465C,3,12,112,C,site,CS,DOE,40,"Park, buildings, and access improvements",Renovate interior building component,Provide funding for a new elevator at George Washington Educational Campus.,,549 AUDUBON AVENUE,AUDUBON AVENUE,,,,,,6,Unable to prioritize funding for this project request at this time.,2698,GEOCODE FAILED
312202466C,3,12,112,C,site,CS,NYPD,56,"Park, buildings, and access improvements",Provide surveillance (Argus) cameras,Procure 2 Argus Cameras for NYPD 33rd Precinct  placement in high crime and low traffic areas alongside Edgecombe/Riverside Drive or along 155th Street and Riverside Drive.,,,"",,,,,,3,"Argus cameras are funded via allocations from elected officials for use within their districts.  Specific location recommendations should be provided to the local precinct commander for submission to the Information Technology Bureau once funding is allocated.  The NYPD will attempt to accommodate specific location requests whenever funding is provided, but reserves the right to place cameras as appropriate due to current crime trends and operational needs.",2699,GEOCODE FAILED
312202467C,3,12,112,C,site,CS,DOE,40,"Park, buildings, and access improvements",Renovate interior building component,Renovate the George Washington Educational Campus Gymnasium (built in 1969),,,"",,,,,,6,Unable to prioritize funding for this project request at this time.,2700,GEOCODE FAILED
312202468C,3,12,112,C,site,CS,DOE,40,"Park, buildings, and access improvements",Renovate interior building component,Upgrade Science Lab(s) at M468/HS for Health Careers & Sciences,,,"",,,,,,2,This project was funded in a prior fiscal year and the final design contract has been let.,2701,GEOCODE FAILED
312202469C,3,12,112,C,site,CS,DOE,40,"Library facilities, equipment and programs (NYPL)",Renovate other site component,Provide funding to expand Computer at M468/HS for Health Careers and Sciences,,,"",,,,,,2,This project was funded in a prior fiscal year and the scope is now underway.,2702,GEOCODE FAILED
312202470C,3,12,112,C,site,CS,DPR,846,"Park, buildings, and access improvements","Provide a new or expanded park or amenity (i.e. playground, outdoor athletic field)",Basketball at the Ft. George Playground (Highbridge Park).,Highbridge Park;,"W 190th St &, Amsterdam Avenue",W 190th St Amsterdam Avenue,,,,,,8,Contact the Community Board Unit at OMB for information regarding this request.,2703,GEOCODE FAILED
312202471C,3,12,112,C, ,CS,DOE,40,"Park, buildings, and access improvements",Renovate interior building component,HVAC Upgrade to add air conditioning in the George Washington Educational Campus auditorium.,George Washington Educational Campus;,549 Audubon Avenue,Audubon Avenue,,,,,,6,Unable to prioritize funding for this project request at this time.,2704,GEOCODE FAILED
312202472C,3,12,112,C, ,CS,DOE,40,Environmental protection,Renovate or upgrade a high school,Provide funding to renovate and upgrade classroom at M468- H.S. for Health Careers and Sciences,HEALTH CAREERS & SCIENCE H S,,"",,,,,,9,This project was funded in a prior fiscal year and the construction contract has been let.,2705,GEOCODE FAILED
312202473C,3,12,112,C,street,CS,EDC,802,Transportation infrastructure,Invest in infrastructure that will support growth in commercial business districts,Funding for a new facility for the Washington Heights CORNER Project.,,,"",,,,,,8,Further study by the agency of this request is needed.,2706,GEOCODE FAILED
312202474C,3,12,112,C, ,CS,DPR,846,Environmental protection,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)",Basketball at W. 186th St. lot <needs additional $350k>.,,556 W 186th Street,W 186th Street,,,,,,8,Contact the Community Board Unit at OMB for information regarding this request.,2707,GEOCODE FAILED
414202421E,4,14,414,E, ,21,DPR,846,Traffic and traffic flow,Other park programming requests,"purchase and install
Mobi matts at all beach side ramps/entrances",,,"",,,,,,3,"The agency recommends funding this expense budget request in FY 2024, but at this time the availability of funds is uncertain.",3587,GEOCODE FAILED
312202475C,3,12,112,C,site,CS,DOE,40,Park maintenance and safety,Provide technology upgrade,Lighting upgrade of stairways. Provide funding to upgrade the lighting of stairways for P.S. 128.,Ps 128 Audubon;,"560 W 169th St, New York, NY 10032",W 169th St,,,,,,6,Unable to prioritize funding for this project request at this time.,2708,GEOCODE FAILED
312202479C,3,12,112,C,site,CS,DOE,40,"Park, buildings, and access improvements",Renovate other site component,Classroom door locks handles & ADA Complaint Provide funding for new classroom doors locks handles with ADA Complaint for P.S. 128 (e.g. classroom doors need pull operable handles in case of any emergency) and inspection for the rest of the schools in D6.,,,"",,,,,,6,Unable to prioritize funding for this project request at this time.,2712,GEOCODE FAILED
312202480C,3,12,112,C,site,CS,DOE,40,NYPD facilities and equipment,Provide technology upgrade,Security Cameras - P.S. 028-SD6 Provide funding to install surveillance system (security cameras) at the entry and exit of the school.  Students? environments need to be protected.,Ps 28;,"475 West 155 Street, Manhattan, New York, NY",West 155 Street,,,,,,7,More information is needed from the community board before making a funding decision. The community board should contact the agency.,2713,GEOCODE FAILED
312202481C,3,12,112,C, ,CS,DPR,846,FDNY programs and staffing,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)",Renovate/rehabilitate Msgr. Kett Playground (204 btw. 10th & Nagle),Msgr. Kett Playground,,"",,,,,,8,Contact the Community Board Unit at OMB for information regarding this request.,2714,GEOCODE FAILED
312202482C,3,12,112,C, ,CS,DPR,846,Senior center programs,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)",Morris-Jumel Mansion ADA Accessibility and exterior renovation including renovation following following water main break.,Morris-Jumel Mansion,,"",,,,,,8,Contact the Community Board Unit at OMB for information regarding this request.,2715,GEOCODE FAILED
312202483C,3,12,112,C,site,CS,NYPL,37,Transportation infrastructure,"Create a new, or renovate or upgrade an existing public library (NYPL)",Full renovation of Fort Washington branch library.,,535 WEST 179 STREET,WEST 179 STREET,,,,,,9,This project was funded in a prior fiscal year and the construction contract has been let.,2716,GEOCODE FAILED
312202484C,3,12,112,C, ,CS,DPR,846,Affordable housing programs,"Provide a new, or new expansion to, a building in a park",Add ADA-compliant bathroom in FW Park Discovery Playground.,Fort Washington Park;,"Riverside Drive, Manhattan, New York, NY",Riverside Drive,,,,,,8,Contact the Community Board Unit at OMB for information regarding this request.,2717,GEOCODE FAILED
312202485C,3,12,112,C,site,CS,DPR,846,"Park, buildings, and access improvements",Other capital budget request for DPR,"Hudson & Harlem River shoreline restoration, including salt marshes, oyster castles, etc.",,,"",,,,,,8,Contact the Community Board Unit at OMB for information regarding this request.,2718,GEOCODE FAILED
109202456C,1,09,209,C, ,56,DOT,841,Garbage collection and recycling,Reconstruct streets,Reconstruction of Dirt Road on Obrien Avenue,,Obrien Avenue,Obrien Avenue,,,,,,8,"Capital funding constraints, project capacity and City-wide priorities preclude this project at this time.",552,GEOCODE FAILED
101202402C,1,01,201,C,site,02,DOE,40,Schools and educational facilities,Renovate or upgrade an elementary school,"Funding for the placement of critical air circulation and conditioning system in PS1 located at 335 East 152nd Street, the Courtlandt School.    Community Board 1 is within the most profound asthma corridor of our City.  We voice  our concerns about the current conditions for learning in all of our schools.  However, in PS1 the air quality and circulation is extremely poor.  Its over heated conditions are not conducive for learning and is having an adverse impact on the learning environment for our children.  We advocate for the allocation of Capital funding for construction of an air condition system within the school.",PS1,,"",,,,,,6,Unable to prioritize funding for this project request at this time.,3,GEOCODE FAILED
101202402E,1,01,201,E, ,02,NYPD,56,NYPD staff and training resources,Hire additional uniformed officers,"Provide and assign more Police Officers to the 40th Police Precinct and to the Police Service Area 7 of the Housing Bureau as well as the Transit Police.    Due to the proliferation of illegal gun possession and rise in shootings and homicides in our streets and Housing Authority Developments, there is a need for more police presence within the 10 sectors of the 40th Precinct. Additionally, there is a need for more officers to enforce truck traffic and double-parking.",,,"",,,,,,5,NYPD's total uniformed staffing levels depend on decisions made in the Preliminary and Executive Budget process.  Allocation of uniformed personnel is scheduled by the agency only after graduation of police classes from the Academy.,4,GEOCODE FAILED
101202407C,1,01,201,C,site,07,DPR,846,"Park, buildings, and access improvements","Provide a new or expanded park or amenity (i.e. playground, outdoor athletic field)",Upgrade the existing outdoor playground at PS 65. The current facility is in deteriorating condition.,Ps 65 Mother Hale Academy,,"",,,,,,8,This property is not under Parks' jurisdiction. Please contact the appropriate agency.,13,GEOCODE FAILED
101202403C,1,01,201,C,general,03,DOT,841,Foster care and child welfare,Repair or provide new street lights,"Upgrade illumination on existing street lighting in the District.    Street lighting throughout the entire District at night does not appear to be providing the proper illumination to support public safety.  The Board requests for an upgrade ad increase in foot-candles on the existing lamp poles, including within all pedestrian underpasses in the District.",,,"",,,,,,5,"Wattage/lumen changes of street lights are not permissible.  The number of street lights can only be increased if the request is accompanied by funding to cover all equipment and construction costs and a Maintenance Agreement is signed with a City Chartered organization willing and able to pay for the associated maintenance cost of electricity, repairs, etc. - i.e. Business Improvement District.",5,GEOCODE FAILED
101202403E,1,01,201,E,general,03,ACS,68,Transportation infrastructure,"Provide, expand, or enhance funding to support higher education and/or workforce development opportunities for youth who are leaving foster care",Fund development of recreational programming for Aging-Out youth 18 to 25 from foster care.    There is a need for additional resources and services to support activities for this population.,,,"",,,,,,9,"ACS currently offers services for youth and families. Please contact the Office of Intergovernmental Affairs for additional information at 212-341-0999, or check our website at www.nyc.gov/acs.",6,GEOCODE FAILED
101202404C,1,01,201,C, ,04,DOT,841,Programs to address other public health issues,Repair or provide new street lights,"Fund major improvements including additional lighting at the Major Deegan underpasses at Brook, St. Ann's, Lincoln and Willis Avenues.    There is a need for additional lighting at the Major Deegan underpasses at Brook, St. Ann's, Lincoln and Willis Avenues as it is dangerous for residents that have to pass through these locations due to inadequate lighting.",,,"",,,,,,8,Please contact the Borough Commissioner's office to discuss this request.,7,GEOCODE FAILED
101202404E,1,01,201,E,general,04,DOHMH,816,Transportation infrastructure,Other programs to address public health issues requests,"Add Funding for Asthma Treatment. Bronx Community District #1 has been designated as part of the Asthma Corridor. The Municipal Hospital in our district. Lincoln Medical & Mental Health Center, handles approximately 50,000 pediatric visits and 45,000 pediatric emergency room visits, 5% of which are Asthma related. Additional funding is needed for Asthma Education and case management assistance.",,,"",,,,,,3,The agency will accommodate this issue within existing resources.,8,GEOCODE FAILED
101202405C,1,01,201,C,general,05,DOT,841,Youth workforce development,Rehabilitate bridges,"The reconstruction of the East 153rd Street Bridge.  Previously at this location the past Administration had approved a design for a cable-less Bridge at East 153rd Street and the money was taken out of the budget.  Due to increased population in Bronx County in Boards 1 and 4 there is a need for a new bridge to be built at this location.    The increased density and strained traffic conditions in the District along 149th Street, the Grand Concourse and on to East 161st Street has created limited options for drivers.  The East 153rd Street Bridge is presently in the projected Capital Plan.  Our Board supports development of the East 153rd Street Bridge which can reduce congestion in our District.",159th Street Bridge,,"",,,,,,5,"Funds are unavailable for this project.  We recommend this project be brought to the attention of your elected officials, i.e. Borough President, Council/Assemblymember, or State Senator.",9,GEOCODE FAILED
101202419C,1,01,201,C, ,CS,DOE,40,"Library facilities, equipment and programs (NYPL)",Renovate or upgrade an elementary school,PS 277 - Funding for the painting of the entire school due chipped and peeling paint.  Funding to repair leakage within the 5th floor classrooms.,Ps 277;,"519 St Anns Avenue, Bronx, New York, NY",St Anns Avenue,,,,,,2,This request includes more than one proposal.  Funding for part is recommended.,36,GEOCODE FAILED
101202405E,1,01,201,E,site,05,DYCD,260,Transportation infrastructure,Other youth workforce development requests,Fund youth employment during the school year.    There is a high rate of unemployment among our youth population.  Part-time jobs are needed for students during the winter and spring sessions while attending school.,,,"",,,,,,9,DYCD has increased funding in this service area.,10,GEOCODE FAILED
102202410C,1,02,202,C, ,10,DoiTT,858,Community board facilities and staff,Other capital budget request,Install newest LinkNYC devices,,,"",,,,,,10,"No budgetary implications. The franchisee, CityBridge, funds all capital and operational costs of LinkNYC.",54,GEOCODE FAILED
104202421E,1,04,204,E, ,21,NYCTA,998,After school programs,Provide a new bus service or Select Bus Service,Explore the possibility of a Select BX19 and Select BX1 to accommodate the continued growth along the Grand Concourse and along the 149th Street corridor.,,,"",,,,,,10,More information is needed from the community board before making a funding decision. The community board should contact the agency.,161,GEOCODE FAILED
101202406E,1,01,201,E,site,06,DOHMH,816,"Park, buildings, and access improvements","Provide more information and services related to STIs, HIV/AIDS, and family planning","Add funds for AIDS Education, Teenage Pregnancy and Infant Mortality Programs in CD 1.    More of these programs are needed to reach out to our Elementary and High School students as well as to the youth in our Community District.",,,"",,,,,,3,"DOHMH has a variety of HIV programs, with a special focus on men who have sex with men; transgender women who have sex with men; blacks; Latinos; and people struggling with substance abuse.  We will review and assess the request for additional programming, which would be contingent upon availability of funds.",12,GEOCODE FAILED
101202407E,1,01,201,E,site,07,DPR,846,Park programming,Improve the quality/staffing of existing programs offered in parks or recreational centers,Continue funding 18 permanent staff at St. Mary's Recreational Center.    This newly renovated center requires permanent staffing to maintain and provide services to our youth as well as our adult population.,St. Mary's Recreational Center,,"",,,,,,9,The Parks Department would support this request for personnel.,14,GEOCODE FAILED
101202408C,1,01,201,C, ,08,DPR,846,Animal and pest control services,"Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","Provide Funding for the Green Thumb Gardens in the District. To provide all the gardens in CB1 with on-site running water, electricity, modern fencing as well as clean soil, lumber, and other materials needed to operate a functioning garden. (Previous Tracking No: 101201602C)",,,"",,,,,,5,Parks Department funds are insufficient for this purpose. We recommend this request be brought to the attention of your Council Members.,15,GEOCODE FAILED
101202408E,1,01,201,E,general,08,DOHMH,816,"Park, buildings, and access improvements",Animal and pest control requests including reducing rat and mosquito populations,"Increase funding for Pest Control in CD 1.    These are vacant lots infested with rodents and insects in CD 1.  In order to provide adequate service, funds are needed to purchase rodenticide and warning posters.",,,"",,,,,,5,The agency will try to accommodate this issue within existing resources.,16,GEOCODE FAILED
101202409C,1,01,201,C,site,09,DPR,846,"Park, buildings, and access improvements","Provide a new or expanded park or amenity (i.e. playground, outdoor athletic field)","Develop a Waterfront Public Access Park. The development of a street and a public access waterfront park, on a section of the Harlem River waterfront, will provide a constructive development of this area for recreational and waterborne transportation services. (Previous Tracking Code: 101200801C)",Harlem River Waterfront,,"",,,New Yorkers For Parks,,,9,This project is currently in design.,17,GEOCODE FAILED
101202409E,1,01,201,E, ,09,DPR,846,Park maintenance and safety,Other expense budget request for DPR,"Vehicles to replace aging fleet.  The Parks Department relies o vehicles that are constantly out of service and over five-years old.  Parks also needs to service larger parks with smaller, safer and more efficient small utility vehicles.",,,"",,,,,,5,"Department of Parks and Recreation funds are insufficient for this project. We recommend this project be brought to the attention of your elected officials, i.e. Borough President and/or City Council member.",18,GEOCODE FAILED
101202410C,1,01,201,C,site,10,DOE,40,Schools and educational facilities,Renovate or upgrade an elementary school,"Funding for the creation of a library/media room at PS 5 where the children can do homework, study and learn.  Funding for cameras at the front entrance and School Safety Agents for the protection of the children.",PS 5;,"564 Jackson Avenue, Bronx 10455",Jackson Avenue,,,,,,6,Unable to prioritize funding for this project request at this time.,19,GEOCODE FAILED
101202410E,1,01,201,E, ,10,DPR,846,Park maintenance and safety,Enhance park safety through more security staff (police or parks enforcement),"Syringe Removal Program needs more funding to remove syringes more quickly. In order to address conditions more quickly, additional support including staff and and supplies for the Syringe Removal Program such as syringe collection kiosks, sharps collection containers for district crews and PEP Officers, puncture resistant gloves and other equipment are needed.",,,"",,,,,,5,The Parks Department would support this request for personnel.,20,GEOCODE FAILED
102202401C,1,02,202,C, ,01,DOE,40,Services for vulnerable New Yorkers,Renovate or upgrade an elementary school,Increase seating capacity in the community board so students won't need to travel via public transportation to attend class.,,,"",,,,,,6,Community Board located in sub-districts without identified seat need.,37,GEOCODE FAILED
101202411C,1,01,201,C, ,11,NYPL,37,Garbage collection and recycling,Other capital budget request for NYPL,Increased capital funding and the inclusion of libraries in the city's ten-year capital plan.,,,"",,,,,,3,NYPL is in favor of this project but added or restored City funding is required for all expense budget costs and any needed capital costs.  NYPL will continue to work through the City's budget process for needed funding. Contact NYPL for more information.,21,GEOCODE FAILED
101202411E,1,01,201,E, ,11,DSNY,827,"Library facilities, equipment and programs (NYPL)",Provide more on-street trash cans and recycling containers,Provide more on-street trash cans and recycling containers throughout the district,,,"",,,,,,7,"The Bureau of Community Affairs (BCA) includes our Community Liaison Unit which works with community boards, elected officials and community groups/organizations to promote DSNY programs, services, and proper practices.  The Community Board may contact BCA at 646-885-4503 with any concerns.",22,GEOCODE FAILED
101202412C,1,01,201,C, ,12,NYPL,37,Garbage collection and recycling,Other capital budget request for NYPL,"Increased expense funding, so libraries in every neighborhood can help rebuild a more equitable New York, including technology access for families in all libraries.",,,"",,,,,,3,NYPL is in favor of this project but added or restored City funding is required for all expense budget costs and any needed capital costs.  NYPL will continue to work through the City's budget process for needed funding. Contact NYPL for more information.,23,GEOCODE FAILED
101202412E,1,01,201,E, ,12,DSNY,827,"Library facilities, equipment and programs (NYPL)",Other garbage collection and recycling requests,"Maintaining and increasing the Mobilized Litter Patrol (MLP) service, they address illegal drop-off and dump-out conditions.",,,"",,,,,,3,This program is currently funded and the Department of Sanitation recommends its continued support.,24,GEOCODE FAILED
101202413C,1,01,201,C, ,13,DPR,846,Street and lot cleaning,"Enhance park safety through design interventions, e.g. better lighting","At St. Mary's Park, policing is required to ensure that the park is not utilized for drug distribution use.",,,"",,,,,,8,Further study by the agency of this request is needed.,25,GEOCODE FAILED
101202413E,1,01,201,E, ,13,DSNY,827,Park maintenance and safety,Increase vacant lot cleaning,Maintaining and restoring funding levels for vacant lot cleaning.,,,"",,,,,,4,This program is currently funded and the Department of Sanitation recommends its continued support.,26,GEOCODE FAILED
